UttNo,Utterance (EN),Final (FR),Intent,Entity name,Entity value
74,When does the hospital cafe close?,Quand est-ce que la cafétariat ferme-t-elle ?,ask_opening_hours,place,cafe
85,What time is my appointment?,À quelle heure est mon rendez-vous ?,ask_wait_time,,
90,Where can I find a nurse?,Où puis-je trouver une infirmière?,location-request,professional,nurse
97,Can you point me to the lifts please,"Pouvez-vous m'indiquer les ascenseurs, s'il vous plaît?",directions-request,room,lift
7,Hi robot what's your name?,"Bonjour, comment t'appelles-tu ?",greet+ask_robot_name,,
55,Do you offer meals for companions or just for the patients?,Proposez-vous des repas aux accompagnants ou seulement aux patients?,ask_meal_companions,,
33,Can we bring someone to the memory consultation?,Est-ce qu'on peut venir accompagné à la consultation de mémoire?,ask_accompaniment,,
37,Do you think they'll diagnose me with something after this visit?,Pensez-vous que j'aurais mon diagnostic après cette visite ?,ask_about_diagnosis,,
75,What are the clinic's opening hours?,Quels sont les horaires d'ouverture de l'hôpital de jour?,ask_opening_hours,place,reception
18,I've come for a memory consultation.,Moi je viens pour une consultation de mémoire.,inform_arrival,,
